O*NET-SOC Code,Title,Alternate Title,Short Title,Source(s)
15-1211.00,Computer Systems Analysts,Applications Analyst,,"02,04,10"
15-1211.00,Computer Systems Analysts,Applications Systems Analyst,,08
15-1211.00,Computer Systems Analysts,Automatic Data Processing Planner (ADP Planner),ADP Planner,08
15-1211.00,Computer Systems Analysts,Business Systems Analyst,,"02,04,06,07,10"
15-1211.00,Computer Systems Analysts,Computer Analyst,,"02,04,06,07"
15-1211.00,Computer Systems Analysts,Computer Architect,,09
15-1211.00,Computer Systems Analysts,Computer Consultant,,04
15-1211.00,Computer Systems Analysts,Computer Equipment Analyst,,01
15-1211.00,Computer Systems Analysts,Computer Methods Analyst,,"04,06,07"
15-1211.00,Computer Systems Analysts,Computer Systems Analyst,,"02,04"
15-1211.00,Computer Systems Analysts,Computer Systems Consultant,,"02,04"
15-1211.00,Computer Systems Analysts,Computer Systems Design Analyst,,"04,06,07"
15-1211.00,Computer Systems Analysts,Computer Systems Designer,,"04,06,07"
15-1211.00,Computer Systems Analysts,Computer Systems Specialist,,01
15-1211.00,Computer Systems Analysts,Configuration Analyst,,10
15-1211.00,Computer Systems Analysts,Cross Enterprise Integrator,,08
15-1211.00,Computer Systems Analysts,Cyber Defense Infrastructure Support Specialist,,01
15-1211.00,Computer Systems Analysts,Data Processing Consultant,,"04,06,07"
15-1211.00,Computer Systems Analysts,Data Processing Systems Analyst,,"02,04,06,07"
15-1211.00,Computer Systems Analysts,Data Processing Systems Consultant,,"04,06,07"
15-1211.00,Computer Systems Analysts,Data Processing Systems Project Planner,,"04,06,07"
15-1211.00,Computer Systems Analysts,Database Analyst,,"04,07"
15-1211.00,Computer Systems Analysts,Database Design Analyst,,"04,07"
15-1211.00,Computer Systems Analysts,Digital Computer Systems Analyst,,"04,06,07"
15-1211.00,Computer Systems Analysts,EDI Analyst (Electronic Data Exchange Analyst),EDI Analyst,01
15-1211.00,Computer Systems Analysts,Electronic Transactions Implementer,,01
15-1211.00,Computer Systems Analysts,Engineering Systems Analyst,,"04,06,07"
15-1211.00,Computer Systems Analysts,ERP Consultant (Enterprise Resource Planning Consultant),ERP Consultant,01
15-1211.00,Computer Systems Analysts,ERP Specialist (Enterprise Resource Planning Specialist),ERP Specialist,01
15-1211.00,Computer Systems Analysts,Functional Analyst,,08
15-1211.00,Computer Systems Analysts,Health Systems Analyst,,"04,06"
15-1211.00,Computer Systems Analysts,Implementation Consultant,,10
15-1211.00,Computer Systems Analysts,Information Scientist,,08
15-1211.00,Computer Systems Analysts,Information Systems Analyst (ISA),ISA,"02,04,09"
15-1211.00,Computer Systems Analysts,Information Systems Auditor (IS Auditor),IS Auditor,09
15-1211.00,Computer Systems Analysts,Information Systems Consultant (IS Consultant),IS Consultant,"04,06,07"
15-1211.00,Computer Systems Analysts,Information Systems Planner (IS Planner),IS Planner,"04,08"
15-1211.00,Computer Systems Analysts,Information Systems Specialist (IS Specialist),IS Specialist,"04,06,07"
15-1211.00,Computer Systems Analysts,Internet Analyst,,01
15-1211.00,Computer Systems Analysts,IT Analyst (Information Technology Analyst),IT Analyst,"02,08,09,10"
15-1211.00,Computer Systems Analysts,IT Auditor (Information Technology Auditor),IT Auditor,10
15-1211.00,Computer Systems Analysts,IT Business Analyst (Information Technology Business Analyst),IT Business Analyst,"02,09,10"
15-1211.00,Computer Systems Analysts,IT Business Systems Analyst (Information Technology Business Systems Analyst),IT Business Systems Analyst,10
15-1211.00,Computer Systems Analysts,IT Consultant (Information Technology Consultant),IT Consultant,"02,09,10"
15-1211.00,Computer Systems Analysts,IT Performance Analyst (Information Technology Performance Analyst),IT Performance Analyst,01
15-1211.00,Computer Systems Analysts,IT Security Analyst (Information Technology Security Analyst),IT Security Analyst,08
15-1211.00,Computer Systems Analysts,IT Systems Analyst (Information Technology Systems Analyst),IT Systems Analyst,02
15-1211.00,Computer Systems Analysts,Programmer Analyst,,"02,04,08"
15-1211.00,Computer Systems Analysts,Public Key Infrastructure Analyst (PKI Analyst),PKI Analyst,01
15-1211.00,Computer Systems Analysts,Scientific Systems Analyst,,"04,06,07"
15-1211.00,Computer Systems Analysts,Software Analyst,,"02,09"
15-1211.00,Computer Systems Analysts,Software Consultant,,"04,06,07"
15-1211.00,Computer Systems Analysts,Systems Analysis Specialist,,"06,07"
15-1211.00,Computer Systems Analysts,Systems Analyst,,"02,10"
15-1211.00,Computer Systems Analysts,Systems Integrator,,08
15-1211.00,Computer Systems Analysts,Technical Analyst,,"08,10"
15-1211.00,Computer Systems Analysts,Technical Business Analyst,,10
15-1211.00,Computer Systems Analysts,Technical Consultant,,10
15-1211.00,Computer Systems Analysts,Technology Analyst,,01
15-1211.00,Computer Systems Analysts,Virus Technician (Virus Tech),Virus Tech,01
15-1211.00,Computer Systems Analysts,Vulnerability Assessment Analyst,,01
15-1211.00,Computer Systems Analysts,Vulnerability Assessor,,01
